windspeed,date
3.182964251,2021-08-12 01:00:00
3.604039092,2021-08-12 02:00:00
3.679073333,2021-08-12 03:00:00
3.691043039,2021-08-12 04:00:00
3.314166384,2021-08-12 05:00:00
3.280208767,2021-08-12 06:00:00
3.568105986,2021-08-12 07:00:00
4.067331838,2021-08-12 08:00:00
3.94644246,2021-08-12 09:00:00
3.672988895,2021-08-12 10:00:00
3.196843881,2021-08-12 11:00:00
3.195487135,2021-08-12 12:00:00
3.118635163,2021-08-12 13:00:00
3.088448634,2021-08-12 14:00:00
3.4415148,2021-08-12 15:00:00
3.472225411,2021-08-12 16:00:00
3.101265635,2021-08-12 17:00:00
2.6831845,2021-08-12 18:00:00
2.192997266,2021-08-12 19:00:00
2.511747171,2021-08-12 20:00:00
2.578269055,2021-08-12 21:00:00
3.064846508,2021-08-12 22:00:00
3.159000745,2021-08-12 23:00:00
3.49304617,2021-08-13 00:00:00
3.458259644,2021-08-13 01:00:00
3.010234907,2021-08-13 02:00:00
2.85994423,2021-08-13 03:00:00
3.139044196,2021-08-13 04:00:00
3.361178046,2021-08-13 05:00:00
3.925283725,2021-08-13 06:00:00
3.772020178,2021-08-13 07:00:00
4.964239507,2021-08-13 08:00:00
3.994785931,2021-08-13 09:00:00
3.904163998,2021-08-13 10:00:00
3.189083404,2021-08-13 11:00:00
3.29364995,2021-08-13 12:00:00
3.972961499,2021-08-13 13:00:00
4.283091998,2021-08-13 14:00:00
4.174491948,2021-08-13 15:00:00
3.77469423,2021-08-13 16:00:00
4.093330017,2021-08-13 17:00:00
4.051868194,2021-08-13 18:00:00
4.125577299,2021-08-13 19:00:00
4.173214349,2021-08-13 20:00:00
4.018819702,2021-08-13 21:00:00
3.539920971,2021-08-13 22:00:00
3.664935001,2021-08-13 23:00:00
3.800879183,2021-08-14 00:00:00
3.756759105,2021-08-14 01:00:00
3.634036073,2021-08-14 02:00:00
3.456717984,2021-08-14 03:00:00
3.513983605,2021-08-14 04:00:00
3.118219736,2021-08-14 05:00:00
3.267850491,2021-08-14 06:00:00
2.857851136,2021-08-14 07:00:00
3.689284853,2021-08-14 08:00:00
3.951875201,2021-08-14 09:00:00
3.568689858,2021-08-14 10:00:00
3.453300302,2021-08-14 11:00:00
3.732672599,2021-08-14 12:00:00
3.838700362,2021-08-14 13:00:00
3.418384233,2021-08-14 14:00:00
3.124806732,2021-08-14 15:00:00
2.211438441,2021-08-14 16:00:00
1.12486096,2021-08-14 17:00:00
1.184629277,2021-08-14 18:00:00
1.076842437,2021-08-14 19:00:00
1.28382587,2021-08-14 20:00:00
1.567528988,2021-08-14 21:00:00
2.05223165,2021-08-14 22:00:00
2.014458277,2021-08-14 23:00:00
1.845514018,2021-08-15 00:00:00
2.062072139,2021-08-15 01:00:00
2.400191997,2021-08-15 02:00:00
2.406331486,2021-08-15 03:00:00
2.34522901,2021-08-15 04:00:00
2.752602285,2021-08-15 05:00:00
2.852333871,2021-08-15 06:00:00
2.928884445,2021-08-15 07:00:00
2.980702512,2021-08-15 08:00:00
3.287694977,2021-08-15 09:00:00
3.760613819,2021-08-15 10:00:00
3.723646098,2021-08-15 11:00:00
3.078784137,2021-08-15 12:00:00
2.033258757,2021-08-15 13:00:00
2.299914798,2021-08-15 14:00:00
2.588524825,2021-08-15 15:00:00
2.630588635,2021-08-15 16:00:00
1.790652941,2021-08-15 17:00:00
1.502203933,2021-08-15 18:00:00
1.317871054,2021-08-15 19:00:00
